staffID, bran_branchName, startWorkDate, staffName, staffPhone, staffAddress
"443403198006021491", "上海分行", "2006-7-7", "赵浩", "13894259775", "郑州"
"410403199803016507", "上海分行", "2008-3-17", "钱凯", "13670353649", "北京"
"443403200511014945", "南京分行", "2016-10-13", "王清", "13824315236", "北京"
"410403198410108868", "北京分行", "2008-8-13", "王亮", "18883054369", "北京"
"221621199304075691", "上海分行", "2005-3-11", "张毅", "13868813346", "北京"
"443403198107100483", "南京分行", "2016-6-17", "吴家伟", "13692409835", "郑州"
"221403199104207061", "上海分行", "2007-8-26", "钱亮", "18803180165", "合肥"
"221621198710056606", "上海分行", "2006-5-13", "王凯", "15834451655", "武汉"
"443403200209099140", "南京分行", "2015-2-22", "温一鸣", "15863273116", "上海"
"443403200212239378", "南京分行", "2010-9-20", "吴咏", "18865212344", "合肥"
"221403200412072062", "北京分行", "2007-3-2", "钱一鸣", "18886739826", "北京"
"443403200004056044", "北京分行", "2011-6-4", "钱凯", "17334609263", "郑州"
"443403198310229240", "南京分行", "2014-4-12", "张毅", "17332884322", "北京"
"410621198308256293", "上海分行", "2012-6-25", "温小牛", "18823240630", "上海"
"443621199710116492", "北京分行", "2007-7-15", "赵凯", "13827553059", "北京"
"443621200907278414", "安徽省分行", "2017-4-12", "温小牛", "13883137881", "上海"
"443403200402180089", "北京分行", "2017-10-2", "王飞", "18875024206", "上海"
"410621198005075007", "上海分行", "2008-11-21", "雷浩", "18818236335", "合肥"
"221403198411201309", "北京分行", "2011-1-13", "宋毅", "13635096367", "北京"
"221621198507285283", "北京分行", "2013-5-20", "雷天乐", "15832401763", "上海"
"443403200202197606", "安徽省分行", "2016-10-15", "温远", "15893079725", "合肥"
"443621200309191562", "北京分行", "2012-5-21", "温凯", "15801304595", "北京"
"410403198201268777", "上海分行", "2010-1-11", "雷源", "15896471078", "上海"
"221621198202253940", "南京分行", "2015-8-1", "吴凯", "17342637365", "郑州"
"410403200107255907", "上海分行", "2010-1-1", "钱毅", "17330127104", "武汉"
"221621199209143628", "安徽省分行", "2005-8-17", "宋上", "15816593887", "合肥"
"443621198501066892", "南京分行", "2017-2-19", "李树", "18837128846", "北京"
"410621198301095931", "北京分行", "2017-11-20", "吴毅", "13847313581", "合肥"
"221621200911083483", "安徽省分行", "2006-2-19", "钱泽", "13854145249", "武汉"
"410621199408064447", "上海分行", "2014-10-23", "钱远", "17381748609", "合肥"
"221403200012100777", "南京分行", "2009-7-6", "王清", "13686996953", "武汉"
"443621199912215954", "上海分行", "2010-11-27", "宋天乐", "13629380696", "郑州"
"410403199107084070", "上海分行", "2016-10-21", "雷凯", "13819770442", "武汉"
"410621200708071145", "北京分行", "2009-12-21", "宋小牛", "13637308020", "上海"
"410403200901191838", "北京分行", "2009-4-7", "王亮", "17331108736", "武汉"
"443403199710258462", "上海分行", "2006-8-7", "张天乐", "13679091740", "合肥"
"221403200407100105", "上海分行", "2012-10-25", "雷上", "13688567620", "合肥"
"443403200110243402", "安徽省分行", "2015-10-3", "李清", "17381462070", "上海"
"221403198212022029", "南京分行", "2010-9-13", "张家伟", "17363897360", "北京"
"410621199111136238", "北京分行", "2013-12-21", "钱一鸣", "17398700566", "北京"
"443403198407289651", "安徽省分行", "2010-1-14", "胡飞", "18899595618", "合肥"
"221403200306255381", "北京分行", "2012-10-16", "钱上", "13860226850", "北京"
"443621199407285622", "安徽省分行", "2015-11-24", "张一鸣", "17311738221", "北京"
"410621198905097631", "北京分行", "2007-7-26", "李凯", "15881153023", "武汉"
"221403199206049468", "安徽省分行", "2017-12-23", "张远", "13804254320", "合肥"
"221621201009183831", "北京分行", "2014-6-14", "吴清", "18830693641", "上海"
"410403199412135767", "安徽省分行", "2008-4-5", "温泽", "15868335331", "北京"
"443621199304274941", "南京分行", "2006-9-21", "温泽", "13652688155", "郑州"
"443621200107057408", "安徽省分行", "2012-10-23", "赵远", "13696179360", "郑州"
"443403199208237595", "上海分行", "2011-1-4", "宋天乐", "15822192007", "合肥"
