accountIDX, bran_branchName, staf_staffID, remain, visitTime, openTime, accountType
"90683154991658135836", "上海分行", "410621198308256293", 37876, "2019-06-12", "2006-3-27", "deposit"
"42127628213148858615", "南京分行", "221621199304075691", 197579, "2019-06-12", "2008-5-15", "cheque"
"97559464486111041542", "南京分行", "221621199304075691", 134137, "2019-06-12", "2012-3-18", "deposit"
"95088063369279852487", "北京分行", "443621200107057408", 37349, "2019-06-12", "2015-1-22", "deposit"
"03612574402294571463", "上海分行", "221403200012100777", 15594, "2019-06-12", "2015-6-2", "cheque"
"83739191491533400696", "北京分行", "410403200107255907", 1935, "2019-06-12", "2011-11-7", "deposit"
"28256998050159985752", "北京分行", "410621200708071145", 93868, "2019-06-12", "2010-10-1", "deposit"
"83492776927604255325", "上海分行", "443403200202197606", 144356, "2019-06-12", "2013-6-23", "deposit"
"01669170953004038843", "安徽省分行", "443403200209099140", 20938, "2019-06-12", "2012-5-13", "cheque"
"17420975840117965635", "南京分行", "410403200107255907", 147065, "2019-06-12", "2009-1-1", "deposit"
"50455326572636524656", "安徽省分行", "443621198501066892", 77538, "2019-06-12", "2010-4-17", "cheque"
"65373957517683179606", "安徽省分行", "221403200407100105", 55408, "2019-06-12", "2010-12-18", "deposit"
"80162671741038660966", "安徽省分行", "410403199803016507", 125680, "2019-06-12", "2013-6-19", "cheque"
"25878006553605302477", "安徽省分行", "410403200901191838", 91652, "2019-06-12", "2008-3-12", "deposit"
"27269349171821199410", "上海分行", "221403199104207061", 50628, "2019-06-12", "2014-10-20", "cheque"
"14820955344935565337", "安徽省分行", "443621200907278414", 181174, "2019-06-12", "2013-12-24", "cheque"
"99565256951335665630", "安徽省分行", "410403200107255907", 126957, "2019-06-12", "2008-7-13", "deposit"
"09297851374795359996", "上海分行", "410403199803016507", 83574, "2019-06-12", "2009-7-11", "cheque"
"43223635991768896863", "南京分行", "221403199104207061", 122909, "2019-06-12", "2010-3-2", "cheque"
"58565303414665866689", "安徽省分行", "221621198507285283", 68378, "2019-06-12", "2009-6-13", "deposit"
"65597008904555638201", "北京分行", "221403199206049468", 92608, "2019-06-12", "2013-2-11", "cheque"
"34815807942417756868", "安徽省分行", "221403200012100777", 86742, "2019-06-12", "2016-10-17", "cheque"
"39406456455313301589", "南京分行", "410403199412135767", 135990, "2019-06-12", "2006-3-25", "deposit"
"48907623537515348929", "上海分行", "221403200306255381", 85310, "2019-06-12", "2012-10-7", "deposit"
"19536621450078275419", "南京分行", "221621198202253940", 113634, "2019-06-12", "2008-9-6", "cheque"
