customID, customPhone, customAddress, customName, relName, relPhone, relEmail, relRelation
"221403198610254600", "1880798379890", "上海", "吴远", "钱树", "1381092786414", "flyok@163.com", "配偶"
"221621199009176757", "1582080828130", "北京", "吴树", "张上", "1383755318802", "cent0@outlook.com", "配偶"
"443403199707285940", "1889974429067", "郑州", "张凯", "赵一鸣", "1889914038737", "flows@hotmail.com", "父亲"
"410403199909075831", "1581966828098", "武汉", "张远", "温一鸣", "1386052060368", "flowok@outlook.com", "妹妹"
"443403199505089542", "1735628077752", "合肥", "宋飞", "张小牛", "1887333165182", "bobbest@gmail.com", "哥哥"
"221621199808213353", "1583042475821", "北京", "王亮", "宋飞", "1880035165377", "cent0@163.com", "妹妹"
"443621200305108098", "1387278697015", "合肥", "钱清", "钱凯", "1735930409186", "kitebest@outlook.com", "父亲"
"443403198612280105", "1882818926165", "上海", "王上", "钱远", "1364141021515", "kitebest@outlook.com", "妹妹"
"410403200405288393", "1389748543135", "上海", "张树", "李想", "1360022375860", "winger@gmail.com", "母亲"
"221403198307068204", "1732862584029", "合肥", "胡亮", "温源", "1583526405967", "bob0@outlook.com", "弟弟"
"410403199309256136", "1888191282758", "郑州", "张飞", "李大山", "1733223437894", "flys@outlook.com", "弟弟"
"443621198809095353", "1360148691053", "武汉", "李源", "张源", "1363025970677", "flowbest@hotmail.com", "配偶"
"443403198901028864", "1735089662840", "郑州", "赵源", "王大山", "1366579577489", "wing0@gmail.com", "妹妹"
"410403199804230055", "1360505201359", "郑州", "温飞", "温天乐", "1368721488704", "centok@163.com", "妹妹"
"443403200211182985", "1588670561784", "武汉", "赵小牛", "钱天乐", "1733896597072", "flybest@163.com", "妹妹"
"221403198310129815", "1381106069200", "武汉", "吴天乐", "胡泽", "1887106377874", "flowbest@hotmail.com", "哥哥"
"443621200507091862", "1585946596155", "合肥", "李一鸣", "张一鸣", "1581370706284", "cent0@gmail.com", "配偶"
"410621198304014478", "1584843575376", "合肥", "赵天乐", "赵一鸣", "1383324659008", "flower@163.com", "弟弟"
"221403198207100670", "1733702166158", "郑州", "宋一鸣", "雷树", "1886078565195", "centok@163.com", "妹妹"
"410621198408221721", "1888661716777", "北京", "雷一鸣", "宋泽", "1389281906621", "flowok@163.com", "母亲"
"443621200503077636", "1380908050625", "合肥", "王飞", "温一鸣", "1366026457454", "kite0@163.com", "妹妹"
"443403198211162005", "1736466171129", "北京", "张树", "宋源", "1886053685596", "wingbest@hotmail.com", "配偶"
"443621198702264223", "1589074115518", "合肥", "钱想", "宋天乐", "1583753409211", "winger@163.com", "父亲"
