cust_cutomID, cheq_cusA_accountIDX
"443403200004069265", "60752809659831199536"
"443621198604232224", "60752809659831199536"
"443621198604232224", "44419484387550756060"
"443403200211103296", "60752809659831199536"
"443403200211103296", "14174955927329992757"
"221621199412205296", "14174955927329992757"
"221621199412205296", "44419484387550756060"
"221621199303267938", "14174955927329992757"
"410403200906054901", "60752809659831199536"
"410403200906054901", "14174955927329992757"
"410403200906054901", "44419484387550756060"
"221621198803267630", "60752809659831199536"
"221403200702145212", "17412356166315835091"
"221403200306055188", "60752809659831199536"
"221403200306055188", "02691489713804331785"
"221403199608156572", "02691489713804331785"
"221403199909186085", "60752809659831199536"
"221403199909186085", "17412356166315835091"
"221621201005082748", "25518174825839300841"
"221621201005082748", "02691489713804331785"
"410621200210269155", "17412356166315835091"
"410621200210269155", "27924430599060312850"
"221621199911227896", "13083825926517336674"
"443403198511054911", "16012645344978841249"
"443403198511054911", "17412356166315835091"
"410403198610259786", "16012645344978841249"
"410403198610259786", "91506447526566436953"
"410403198610259786", "95515231658993740937"
"410621198903035546", "91506447526566436953"
"443621198801194903", "57036661051703301220"
"443621198801194903", "02691489713804331785"
"410403200006189779", "60752809659831199536"
"410403200006189779", "91506447526566436953"
"410403200006189779", "02691489713804331785"
"221403199701165118", "57036661051703301220"
"221403199701165118", "51804923065416137920"
"410403198908112121", "11391740539132730783"
"410403198908112121", "61088172732168959190"
"443403200006177077", "89802594228643433020"
"443403200006177077", "44419484387550756060"
"221403198610242749", "15567361868661270166"
"221403198610242749", "44419484387550756060"
"410403199705013602", "61088172732168959190"
"410403199705013602", "44419484387550756060"
"443403199612017706", "58870485897768987693"
"443403199612017706", "61088172732168959190"
"410403200805054031", "16012645344978841249"
"443621200406019981", "07852922253871077757"
"410403200012197000", "58870485897768987693"
"410403200012197000", "71499689188077736303"
"410403200012197000", "07852922253871077757"
"410403198101272779", "71499689188077736303"
"410403198911117861", "58870485897768987693"
"221621200810032121", "50460411394216427987"
"221621200810032121", "57942711141115104817"
"443621199702029603", "57036661051703301220"
"443621199702029603", "61963477645570664697"
"443621199702029603", "44419484387550756060"
"443403200503013205", "11391740539132730783"
"443403200503013205", "51804923065416137920"
"443403199306274728", "50460411394216427987"
"443403199306274728", "20677423695981553324"
"410403199807022186", "80338329288343598429"
"410403199807022186", "61088172732168959190"
"410403198812167797", "11391740539132730783"
"221621200504196553", "21529297073773563771"
"443621200302110386", "37217231752837011385"
"443621200302110386", "27924430599060312850"
"410403198905106385", "94882348962603199690"
"410403198807279677", "20734930875003572775"
"410403198807279677", "57942711141115104817"
"410403198010067261", "11391740539132730783"
"410403198010067261", "02691489713804331785"
"221621200408079089", "30150253283329400412"
"410403199804195990", "25518174825839300841"
"443621201008030553", "39973402764410879763"
"221403198111243183", "39973402764410879763"
"410403199110191595", "94882348962603199690"
"443621198012016814", "71060853663009861662"
"443621198012016814", "20079865766996851554"
"443621198012016814", "95515231658993740937"
"410403199009074804", "50460411394216427987"
"410403199009074804", "96219455897923556700"
"410403200910194291", "51617380776738505146"
"410403200910194291", "38879725301349771250"
"410621199305105447", "36815862599740694535"
"410621199305105447", "53367140841948678726"
"221403200807132831", "17412356166315835091"
"410621198207048577", "20734930875003572775"
"410621198207048577", "14174955927329992757"
"221621198401013931", "50460411394216427987"
"221621198401013931", "21529297073773563771"
"443403199912241146", "61963477645570664697"
"221621200308085814", "41481274157329563242"
"221621200308085814", "47649829207440510466"
"410403199312215294", "51804923065416137920"
"221621198805257598", "31099335992932274299"
"221621198805257598", "30150253283329400412"
"410621201002125313", "66194173833127719140"
"221403198405073451", "13083825926517336674"
"410403198012066307", "17412356166315835091"
"221403201004044340", "20734930875003572775"
"221403201004044340", "27924430599060312850"
"410403200508148475", "90410402170682754864"
"221621201001185043", "53367140841948678726"
"410621198605093279", "57036661051703301220"
"410621198605093279", "07852922253871077757"
"410403199906128961", "50460411394216427987"
"410403199906128961", "71499689188077736303"
"410403199112041433", "27924430599060312850"
"443403198405117725", "39973402764410879763"
"443403198405117725", "38879725301349771250"
"410621199103066589", "51804923065416137920"
"443621200309251122", "42757880741421260070"
"410621198511181232", "81740068795930001444"
"410621198511181232", "44638951820016791091"
"410621200309197836", "00268203524518735362"
"221621200305079510", "42757880741421260070"
"221621200305079510", "44419484387550756060"
"221621200202206724", "65616249965630630487"
"410403200805039137", "65616249965630630487"
"410403200805039137", "21529297073773563771"
"410621199709026628", "71524158645501057794"
"410621199709026628", "71499689188077736303"
"410621199709026628", "88893948611963019797"
"221621198307214002", "22657568291048185378"
"221621198307214002", "70316570646311093616"
"221621199812225242", "71524158645501057794"
"221621199812225242", "33529172323114175884"
"221403200111173626", "60752809659831199536"
"221403200111173626", "79642055580223318430"
"410403200203264927", "81740068795930001444"
"410403200203264927", "91506447526566436953"
"410403200203264927", "27891272302401212385"
