cust_customID, depo_cusA_accountIDX
"443403199707285940", "71905637395374258861"
"443403199505089542", "59145994383514925118"
"443403199505089542", "95551030178080549108"
"443403199505089542", "25154887109476047236"
"221621199808213353", "42022121104614947016"
"221621199808213353", "95551030178080549108"
"443621200305108098", "66096900965466949821"
"443403198612280105", "73750446895130097835"
"443403198612280105", "95551030178080549108"
"410403200405288393", "66096900965466949821"
"410403200405288393", "96720950998516974706"
"221403198307068204", "73750446895130097835"
"221403198307068204", "66096900965466949821"
"410403199309256136", "71079765182153970164"
"443621198809095353", "25154887109476047236"
"443403198901028864", "59145994383514925118"
"410403199804230055", "15505225924013974060"
"443403200211182985", "66096900965466949821"
"443403200211182985", "64640785275221848026"
"221403198310129815", "71079765182153970164"
"221403198310129815", "23660351196904030718"
"443621200507091862", "59145994383514925118"
"410621198304014478", "71905637395374258861"
"221403198207100670", "92271386261970083261"
"221403198207100670", "14934362191406688260"
"410621198408221721", "36283972527650328712"
"443621200503077636", "89917035903571753657"
"443621200503077636", "36283972527650328712"
"443403198211162005", "95551030178080549108"
"443403198211162005", "42966153788043037230"
"443621198702264223", "53699768759834489254"
"443621198702264223", "71079765182153970164"
"410621198409114251", "42022121104614947016"
"410621198409114251", "35582602502150632821"
"410621198409114251", "14934362191406688260"
"410621199810086168", "59145994383514925118"
"221621198709167884", "35307236474379708810"
"410403200410177206", "42022121104614947016"
"410403200410177206", "26311303120168944314"
"410403200410177206", "23462087386895932962"
"221621198507010848", "26311303120168944314"
"410621199012044585", "62491009437385830735"
"410621199012044585", "79843167887741715255"
"221403199312046843", "31943785368924056540"
"221403199312046843", "96720950998516974706"
"221621199505150019", "36561347571634324831"
"221621199505150019", "23660351196904030718"
"221621200911092197", "53699768759834489254"
"221621200911092197", "05927636849803420845"
"410403200410148278", "62491009437385830735"
"410403200410148278", "14934362191406688260"
"221403200402011081", "53699768759834489254"
"221403200402011081", "46776886309034484806"
"443621200610268218", "73750446895130097835"
"221621199603216354", "23462087386895932962"
"221621198904179351", "57670579776275646305"
"221621198904179351", "26311303120168944314"
"221621198904179351", "42966153788043037230"
"443621198511039728", "47281287046216853293"
"221621198504276108", "92177395189638394919"
"221621198504276108", "94397208527804142264"
"410621198105172716", "63624677690161880232"
"410621198105172716", "25154887109476047236"
"410403199305222409", "15505225924013974060"
"410621199410139370", "42022121104614947016"
"443403200806230254", "94653427922836760258"
"443403200806230254", "96720950998516974706"
"410403199905144711", "62491009437385830735"
"410403199905144711", "71079765182153970164"
"221403198609062056", "47281287046216853293"
"410403199103248647", "59145994383514925118"
"410403199103248647", "41994432336273650909"
"410403199103248647", "71105620799981809288"
"410621198608014199", "32695176467883561187"
"410621198608014199", "92653527315227510927"
"221403199406177524", "23462087386895932962"
"443621200809267034", "36130832455257208292"
"443403200601132773", "25005018562981592859"
"443403198112217223", "39435313597924420725"
"443403198112217223", "96720950998516974706"
"221403200106026116", "85074573771451241936"
"221403200106026116", "23660351196904030718"
"443621198804031809", "57670579776275646305"
"443621198804031809", "28958679873168591085"
"443621198512043302", "15505225924013974060"
"410621198403106125", "28952924298266984843"
"410621198403106125", "09060640745093064081"
"410403198908205516", "23660351196904030718"
"221621198805017061", "09060640745093064081"
"221621198805017061", "36283972527650328712"
"443621198604049346", "26311303120168944314"
"443621198604049346", "25005018562981592859"
"221403200108264487", "35307236474379708810"
"221621198608222160", "18847926247361634857"
"443403200203280765", "25009056268869059743"
"443403200203280765", "15505225924013974060"
"410621198012275462", "66096900965466949821"
"410621198012275462", "28958679873168591085"
"443403200101066989", "73750446895130097835"
"443403200101066989", "92271386261970083261"
"410621198507081180", "98316249207705422814"
"410621198507081180", "15505225924013974060"
"221403200710151211", "42821560480370029163"
"221403198307167080", "65961066256517666349"
"410621200912198021", "34107240574858198617"
"443621200512089491", "92177395189638394919"
"221621200811159631", "39481319220451266123"
"410403199609224214", "05243495103376369554"
"410403199609224214", "60843386624602716585"
"443621199105246469", "94805989556015847560"
"443621199211246052", "17950462610381454331"
"443621199211246052", "35582602502150632821"
"410621198411233224", "78466957121059996916"
"410621198411233224", "14934362191406688260"
"221621199608275898", "60843386624602716585"
"221621199610183325", "78222521160213742345"
"443621200004052769", "47281287046216853293"
"443621200004052769", "41104108254472287081"
"443621200004052769", "36283972527650328712"
"221621200108222962", "92177395189638394919"
"221621200304065790", "26206251020281727608"
"410403200908223269", "92177395189638394919"
"410403200808249256", "53699768759834489254"
"410403200808249256", "78222521160213742345"
"443621199912204344", "21365720321366194754"
"443621198602201128", "51029823228374351141"
"410403200404106010", "09060640745093064081"
"410403200404106010", "94397208527804142264"
"221621200708083805", "42974069728549871961"
"221621200708083805", "67783583148468661060"
"443621199807110278", "36130832455257208292"
"443621198212241246", "28952924298266984843"
"443621198212241246", "57040339447128925089"
"443621198212241246", "75663047886915277053"
"221621198709184695", "99515603594211294571"
"221621199601138413", "74976317274477632611"
"443621199904221273", "11275888547760701663"
"443621199904221273", "05927636849803420845"
"221403200607260286", "36130832455257208292"
"221621200011010355", "42974069728549871961"
"443403200411056341", "41674850188158354004"
"221621199112079355", "43590435014253570695"
"221621199112079355", "89641907209891201315"
"221621199112079355", "71105620799981809288"
"410621198812145494", "99515603594211294571"
"410621198812145494", "67783583148468661060"
"443621199005167900", "51029823228374351141"
"443621199005167900", "15558016546308737350"
"410621199404014901", "51029823228374351141"
"410621199404014901", "57040339447128925089"
"410621199404014901", "47146072581010163705"
"443403198811232103", "49181391173344634835"
"221621198611059299", "31943785368924056540"
"443621199806145155", "57670579776275646305"
"443621199806145155", "71105620799981809288"
"221621200008263728", "32215528915965677323"
"443621201011112640", "36130832455257208292"
"443621201011112640", "15505225924013974060"
"410621199512172696", "42022121104614947016"
"410621199512172696", "85074573771451241936"
"410621199512172696", "05927636849803420845"
"410621199807231217", "41711032362752169347"
"410403199404121055", "39435313597924420725"
"410403199404121055", "37867942905064485635"
"443403199401119404", "98316249207705422814"
"410403198504070201", "74976317274477632611"
"410403198504070201", "42974069728549871961"
"443403199906156055", "94805989556015847560"
"443403199906156055", "08790921131993881560"
"443403199906156055", "30683555472935247478"
"443621199908060307", "91599570385268684277"
"443621199908060307", "85655453486374800149"
"410403200007211291", "31943785368924056540"
"410621199504265566", "75663047886915277053"
"410621199607181751", "47431596375157811934"
"410621199607181751", "15505225924013974060"
"410621199905124287", "32695176467883561187"
"410403198811059591", "05243495103376369554"
"410403198811059591", "36561347571634324831"
