cust_customID, loan_loanIDX
"410621199205045148", "20023346255653235145"
"221403198506138970", "85894708435742205124"
"410403198107195526", "85894708435742205124"
"221621198212119069", "85894708435742205124"
"221403200612031284", "85894708435742205124"
"221403200911044124", "85894708435742205124"
"443403199902012580", "96036602940213382173"
"221621200301178224", "19336654734656263287"
"443403198611284394", "19336654734656263287"
"443403200407028114", "19336654734656263287"
"410403199612134943", "19336654734656263287"
"221621199908199007", "23747241573030451519"
"443403198706286220", "23747241573030451519"
"410621199802216866", "23747241573030451519"
"221403199512207593", "23747241573030451519"
"221403200305272858", "16336182051195958594"
"443403198010146651", "46581123539588723987"
"221621200404220733", "46581123539588723987"
"443621198709087849", "46581123539588723987"
"443403199804099943", "46581123539588723987"
"410403198910235474", "46581123539588723987"
"410403199312140490", "27026752700014345239"
"410403200905028002", "27026752700014345239"
"410403201012061240", "27026752700014345239"
"221621200711040432", "27026752700014345239"
"443621199601282414", "63194299728215391316"
"221621200711040432", "63194299728215391316"
"221403200105045048", "07844963633550913107"
"410403199905164245", "07844963633550913107"
"410403198012043436", "07844963633550913107"
"221403199512207593", "07844963633550913107"
"410403199705063433", "07844963633550913107"
"443621198803172890", "98565264652493529173"
"221621198703169431", "98565264652493529173"
"410621198703031103", "56662722928637482836"
"410403199903076080", "50052789428849900324"
"221621199301104103", "50052789428849900324"
"221403200503213731", "50052789428849900324"
"410403199912280788", "50052789428849900324"
"221403200007099739", "70731594512759990190"
"221403199205141597", "70731594512759990190"
"221621201010151183", "93113850655880954287"
"443403199006143255", "93113850655880954287"
"221621199003176347", "93113850655880954287"
"443403199804099943", "93113850655880954287"
"221403200106055009", "93113850655880954287"
"410621199908076519", "80092782526188372820"
"443621199905262616", "80092782526188372820"
"221621199206065870", "80092782526188372820"
"221403199205141597", "80092782526188372820"
"221403200106055009", "91150400216156241173"
"221403199112177121", "91150400216156241173"
"443403199607236094", "91150400216156241173"
"410403198910235474", "91150400216156241173"
"443403199006143255", "91150400216156241173"
"221621201010023532", "16114370529943824440"
"221403198002143682", "54081246495044842181"
"410403200611265618", "54081246495044842181"
"443403198010146651", "54081246495044842181"
"410403198004272382", "54081246495044842181"
"443621198212161809", "54081246495044842181"
"221403200505197395", "81568566961437219057"
"221403199307069214", "81568566961437219057"
"410403199012010401", "81568566961437219057"
"221403200007099739", "98279939239408177573"
"221621199003176347", "98279939239408177573"
"221403200610208421", "98279939239408177573"
"443403199409137178", "98279939239408177573"
"221621199301104103", "69761230057894092574"
"410403200603065665", "87169509196161744466"
"443621198701236357", "87169509196161744466"
"410621198601180082", "87169509196161744466"
"443621198803172890", "87169509196161744466"
"443621198705167575", "87169509196161744466"
"221403199706234695", "86606038483018494100"
"443621198709059639", "86606038483018494100"
"221403200810205445", "86606038483018494100"
"221621199003176347", "11585182277763425447"
"410403200811131734", "11585182277763425447"
"443621198212113955", "11585182277763425447"
"443403199409137178", "11585182277763425447"
"410403199001074082", "11585182277763425447"
"443403200709196298", "86831841160228536817"
"410403198910235474", "86831841160228536817"
"221403199811183048", "86831841160228536817"
"221403200011166951", "44193120736760368538"
"443403200103275571", "44193120736760368538"
"410621198009276016", "26924461770380787585"
"410621200608153124", "26924461770380787585"
"443621198901227388", "51932207884314251282"
"221403200504282880", "78773851597251914099"
"221621199908199007", "78773851597251914099"
"221621198310247078", "78773851597251914099"
"443403199409137178", "01338577314049928277"
"410403199005283424", "01338577314049928277"
"410621199304198137", "01338577314049928277"
"443403199607236094", "65961027432155244727"
"443621199404186328", "65961027432155244727"
"221403200504282880", "65961027432155244727"
"410403199810020665", "65961027432155244727"
"221621198703169431", "65961027432155244727"
"221403199203056861", "05732524761102817859"
"443621198003124477", "05732524761102817859"
"410403199206180064", "42861924444260111961"
"221403199507186706", "42861924444260111961"
"221403200711171746", "42861924444260111961"
"221621198011210746", "57496002701967209584"
"443403199409180264", "57496002701967209584"
"410403199203154457", "57496002701967209584"
"443403198706286220", "57496002701967209584"
"443621200107282143", "57496002701967209584"
"410621199507289181", "63078502076611711642"
"410621198901118979", "56308987083443227752"
"443621198111098351", "56308987083443227752"
"443403198206127487", "56308987083443227752"
