cust_customID, cheq_cusA_accountIDX
"221621198012200735", "78876791088028343571"
"221621198012200735", "25013924219904095053"
"221621198012200735", "25579634289754236037"
"221621200310269135", "47766892980663580417"
"221621199907195289", "84894764006567742023"
"221621199907195289", "78814604600230827085"
"410621200002254739", "78876791088028343571"
"410621200002254739", "66758878794927728186"
"221621200601099719", "25013924219904095053"
"221621200808029446", "84894764006567742023"
"221621200808029446", "47766892980663580417"
"221621200808029446", "73658873326693455831"
"221403200210250673", "90905003624797548174"
"221403200210250673", "79338012730952685532"
"221403200210250673", "73658873326693455831"
"221621200205128717", "72631638991206935520"
"221621200205128717", "23508038534015398886"
"221403199309205132", "78876791088028343571"
"221403199309205132", "79338012730952685532"
"443621199110112746", "78876791088028343571"
"443621199110112746", "36490749313156401927"
"443403200808146490", "73339235224618702002"
"443403200808146490", "47766892980663580417"
"443403198212224436", "73339235224618702002"
"221621199403285204", "19561478003056653177"
"221621199403285204", "39334340722515745556"
"221621200901182391", "95456063153709282927"
"221621200901182391", "06449333849912658286"
"410621199212221453", "43053407118932466538"
"410621199212221453", "59913791632145422098"
"410621199212221453", "88201695610282394302"
"410403199602022621", "78876791088028343571"
"221403200710146656", "43053407118932466538"
"221403200710146656", "95456063153709282927"
"443621198106281143", "04976409669915798078"
"443621198106281143", "79338012730952685532"
"410403199408281605", "79338012730952685532"
"410403199408281605", "23508038534015398886"
"410621201008135981", "10240490072293325324"
"410621201008135981", "95713891604439879813"
"221621200808056657", "13127556167601336913"
"410403199506081524", "78876791088028343571"
"410403199506081524", "73339235224618702002"
"221621200312156050", "43053407118932466538"
"410403198610261396", "04976409669915798078"
"410403198610261396", "25579634289754236037"
"410403200908186481", "83686495344076946613"
"410621199708139784", "59913791632145422098"
"443403198304020374", "60834236423892813793"
"443403198304020374", "47766892980663580417"
"410621199309111993", "04976409669915798078"
"410621199309111993", "47766892980663580417"
"410621199309111993", "36490749313156401927"
"443621199008196375", "19561478003056653177"
"443621199008196375", "25013924219904095053"
"443621199008196375", "25579634289754236037"
"221403199103286519", "83686495344076946613"
"221403199103286519", "47766892980663580417"
"443621199911242492", "58285610685311919183"
"221621200501095045", "19561478003056653177"
"221621200501095045", "73339235224618702002"
"221621200501095045", "79338012730952685532"
"443403199802073642", "04976409669915798078"
"410403199207181557", "42607851463953188836"
"221621198807256148", "40611138907762669190"
"410403199911143392", "64827374044214097881"
"410403199911143392", "25013924219904095053"
"410403199911143392", "48574994094440380786"
"443403198510026474", "19561478003056653177"
"410403198703057596", "29037003286254697844"
"410403198703057596", "18055372245434429386"
"443621199605155697", "60834236423892813793"
"443621199605155697", "79338012730952685532"
"221621198006039480", "37795506052246893324"
"221621198006039480", "02152761780916386827"
"221621198006039480", "42607851463953188836"
"221621198006039480", "18055372245434429386"
"221403198706055611", "02152761780916386827"
"221403198706055611", "79338012730952685532"
"410403200008140648", "38620007496148075050"
"221621198304111019", "60834236423892813793"
"221621198304111019", "37391962332862450392"
"221621198304111019", "48574994094440380786"
"410403199210093447", "37795506052246893324"
"410403199210093447", "06449333849912658286"
"410403198506257046", "37395987347003951593"
"221403199102033069", "19561478003056653177"
"221403199102033069", "60834236423892813793"
"221403200112150023", "28209431386481831519"
"221403200112150023", "37391962332862450392"
"221403200112150023", "66337139898742720629"
"410621198712219500", "10240490072293325324"
"443621198605080623", "95713891604439879813"
"443403200208104667", "95456063153709282927"
"443403200208104667", "66758878794927728186"
"410621198906171611", "63870224641930725316"
"410621198906171611", "90905003624797548174"
"410621198906171611", "73658873326693455831"
"443403198911063691", "44638845240362898361"
"443403198911063691", "90634264841522122226"
"443621200901074306", "32227395991665820000"
"443621200901074306", "79338012730952685532"
"443621198608065449", "28209431386481831519"
"443621198608065449", "25013924219904095053"
"221621199603253736", "32227395991665820000"
"221621199603253736", "02152761780916386827"
"221621199302278230", "17018132312382441567"
"221621199302278230", "78814604600230827085"
"410403198803178943", "39688879729839889386"
"410403198803178943", "47641906541535809653"
"410621198202180677", "16586092723941125509"
"221621198806060137", "12172797615574401849"
"221621198806060137", "72631638991206935520"
"443403200103246253", "04755696610604140101"
"443403200103246253", "60323462821960939469"
"443403200103246253", "71548980036638468263"
"443403200103246253", "23712153376642806846"
"443621200303151522", "20428120527252747456"
"410403200502232927", "88042023637760691972"
"410403200502232927", "71548980036638468263"
"443621198412051566", "32227395991665820000"
"410403198102104090", "43053407118932466538"
"410403198102104090", "10240490072293325324"
"410403198102104090", "55421808157048329860"
"410621200102056081", "11024714894767378989"
"410621200102056081", "95456063153709282927"
"410403198304053646", "53194909353091886666"
"443403199108084772", "16586092723941125509"
"410403200812062021", "73339235224618702002"
